시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
경상북도,영천시,경상북도 영천시 한방로53번지,청수주유소,상업시설,주유소,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.941507,128.93448"
경상북도,영천시,경상북도 영천시 천문로594,영천요양병원,근린생활시설,병원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.987732,128.924099"
경상북도,영천시,경상북도 영천시 한방로77,대어돌섬횟집,상업시설,음식점,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.940494,128.936767"
경상북도,청송군,경상북도 청송군 부동면 상의리 299,주왕산국립공원 상의주차장,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.390481,129.140571"
경상북도,청송군,경상북도 청송군 부동면 상의리 299,주왕산국립공원 상의주차장,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.390481,129.140571"
경상북도,영주시,경상북도 영주시 풍기읍 삼가로 476,소백산국립공원 삼가주차장,관광시설,공원,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.92297670,128.50367160"
경상북도,포항시,경상북도 포항시 남구 동해면 도구리 403-3,포항공항,공공시설,공공기관,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"35.983315,129.433639"
경상북도,포항시,경상북도 포항시 남구 지곡로 247-0 (지곡동),롯데마트 포항점,상업시설,마트(쇼핑몰),급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"36.027599,129.324699"
강원특별자치도,삼척시,강원특별자치도 삼척시 도계읍 강원남부로 634,고원관광휴게소,휴게시설,쉼터,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.179319,129.034777"
강원특별자치도,삼척시,강원특별자치도 삼척시 새천년도로673,삼척동해태백산림조합,기타시설,공중전화부스,급속,급속(50kW),환경부,환경부(협회),급속(50kW),DC차데모+AC3상+DC콤보,이용가능,"37.462202,129.156988"
